Order Number,Order Date,Net Amount,Line Number,Part Description,Unit Cost,Order Quantity,Line Cost,Vendor ID,Vendor Name,Location Name
TSF/04132     ,02/10/2023,7788,1,STROBE & VIBRATING PAD PACK                                 ,389.40,10,3894,17284       ,FIREANGEL SAFETY TECHNOLOGY LD,(SW) CFS TEAM - HAMMERSMITH                                 
TSF/04132     ,02/10/2023,7788,2,STROBE & VIBRATING PAD PACK                                 ,389.40,10,3894,17284       ,FIREANGEL SAFETY TECHNOLOGY LD,(SW) CFS TEAM - HAMMERSMITH                                 
TSF/05258     ,14/12/2023,5222,1,SOFTWARE LICENCES             (ICT)                         ,149.20,35,5222,10026       ,PHOENIX SOFTWARE LTD          ,ICT - MANAGEMENT                                            
TSF/04860     ,21/11/2023,6545.4,1,MOBILE SERVICES               (ICT)                         ,"6,545.40",1,6545.4,22499       ,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    
TSF/04997     ,28/11/2023,7000,1,HARDWARE SUPPORT              (ICT)                         ,1.00,"7,000",7000,11543       ,SPECIALIST COMPUTER CENTRE    ,ICT - SERVICE MANAGEMENT                                    
TSF/05076     ,06/12/2023,6863.78,1,MOBILE SERVICES               (ICT)                         ,"6,863.78",1,6863.78,22499       ,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    
TSF/05078     ,06/12/2023,5447.68,1,MOBILE SERVICES               (ICT)                         ,"5,447.68",1,5447.68,22499       ,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    
TSF/05079     ,06/12/2023,6863.78,1,MOBILE SERVICES               (ICT)                         ,"6,863.78",1,6863.78,22499       ,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    
TSF/05242     ,14/12/2023,9652.8,1,NETWORK SERVICES              (ICT)                         ,"9,652.80",1,9652.8,1744        ,BRITISH TELECOM               ,ICT - SERVICE MANAGEMENT                                    
TSF/05246     ,14/12/2023,7475,1,MOBILE SERVICES               (ICT)                         ,299.00,25,7475,21948       ,Vodafone Limited              ,ICT - SERVICE MANAGEMENT                                    
TSF/04678     ,06/11/2023,9644.4,1,PAGING SERVICES               (ICT)                         ,"9,644.40",1,9644.4,21138       ,PAGEONE COMMUNICATIONS LIMITED,ICT - SERVICE DESK                                          
