Order Number,Order Date,Net Amount,Line Number,Part Description,Unit Cost,Order Quantity,Line Cost,Vendor ID,Vendor Name,Location Name,Total Line Cost,Order Month,Order Year
TSR/18271     ,2024-10-05,9156.0,1.0,"DRESSING, CHITOGAUZE          (IEC PACK)                    ",23.17,250.0,5792.5,20169.0,Safeguard Medical Technologies,OPERATIONAL SUPPORT GROUP - GENERAL STORE                   ,5792.5,10,2024
TSR/18271     ,2024-10-05,9156.0,2.0,"DRESSING, CORIUS SEAL         (IEC PACK)                    ",5.91,350.0,2068.5,20169.0,Safeguard Medical Technologies,OPERATIONAL SUPPORT GROUP - GENERAL STORE                   ,2068.5,10,2024
TSR/18271     ,2024-10-05,9156.0,3.0,"DRESSING, TRAUMA, PROMETHEUS  (IEC PACK)                    ",3.7,350.0,1295.0,20169.0,Safeguard Medical Technologies,OPERATIONAL SUPPORT GROUP - GENERAL STORE                   ,1295.0,10,2024
TSF/07011     ,2024-08-04,9808.34,1.0,MOBILE SERVICES               (ICT)                         ,9808.34,1.0,9808.34,22499.0,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    ,9808.34,8,2024
TSF/07351     ,2024-01-05,5121.91,1.0,SOFTWARE DEVELOPMENT - COTS   (ICT)                         ,5121.91,1.0,5121.91,12683.0,GREATER LONDON AUTHORITY      ,ICT - SERVICE MANAGEMENT                                    ,5121.91,1,2024
TSF/07432     ,2024-09-05,9624.21,1.0,MOBILE SERVICES               (ICT)                         ,9624.21,1.0,9624.21,22499.0,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    ,9624.21,9,2024
TSF/07825     ,2024-10-06,9573.26,1.0,MOBILE SERVICES               (ICT)                         ,9573.26,1.0,9573.26,22499.0,Telefonica UK Ltd             ,ICT - SERVICE MANAGEMENT                                    ,9573.26,10,2024
ITS/14949     ,2024-08-05,5850.0,1.0,SOFTWARE DEVELOPMENT - BESPOKE(ICT)                         ,975.0,6.0,5850.0,8741.0,AZTEC COMPUTING LTD           ,ICT - SYSTEMS SUPPORT & IMPROVEMENT                         ,5850.0,8,2024
TSF/06956     ,2024-04-04,6267.53,1.0,HARDWARE SUPPORT              (ICT)                         ,6267.53,1.0,6267.53,9074.0,SSS Public Safety Limited     ,ICT - SYSTEMS SUPPORT & IMPROVEMENT                         ,6267.53,4,2024
TSF/07791     ,2024-06-06,5402.71,1.0,HARDWARE PURCHASE             (ICT)                         ,5402.71,1.0,5402.71,11543.0,SPECIALIST COMPUTER CENTRE    ,ICT - TECHNICAL PROJECTS                                    ,5402.71,6,2024
TSF/07798     ,2024-07-06,5500.0,1.0,SOFTWARE SUPPORT              (ICT)                         ,180.0,25.0,4500.0,1906.0,INFOR (UNITED KINGDOM) LIMITED,ICT - TECHNICAL PROJECTS                                    ,4500.0,7,2024
TSF/07798     ,2024-07-06,5500.0,2.0,SOFTWARE SUPPORT              (ICT)                         ,200.0,5.0,1000.0,1906.0,INFOR (UNITED KINGDOM) LIMITED,ICT - TECHNICAL PROJECTS                                    ,1000.0,7,2024
TSF/06899     ,2024-02-04,5580.0,1.0,SOFTWARE LICENCES             (ICT)                         ,5580.0,1.0,5580.0,10026.0,PHOENIX SOFTWARE LTD          ,ICT - SERVER & CLOUD                                        ,5580.0,2,2024
TSF/07005     ,2024-05-04,6451.82,1.0,TECHNOLOGY SOLUTIONS          (ICT)                         ,6451.82,1.0,6451.82,1692.0,IRON MOUNTAIN UK PLC          ,ICT - TECHNICAL SUPPORT                                     ,6451.82,5,2024
TSF/07378     ,2024-03-05,6528.2,1.0,TECHNOLOGY SOLUTIONS          (ICT)                         ,6528.2,1.0,6528.2,1692.0,IRON MOUNTAIN UK PLC          ,ICT - TECHNICAL SUPPORT                                     ,6528.2,3,2024
TSF/07793     ,2024-06-06,7043.64,1.0,TECHNOLOGY SOLUTIONS          (ICT)                         ,7043.64,1.0,7043.64,1692.0,IRON MOUNTAIN UK PLC          ,ICT - TECHNICAL SUPPORT                                     ,7043.64,6,2024
TSF/06972     ,2024-04-04,5000.0,1.0,POSTAL/COURIER SERVICES (HQ)  - CITY SPRINT                 ,1.0,5000.0,5000.0,5435.0,CITYSPRINT (UK) LTD           ,ICT - DOCUMENT MANAGEMENT                                   ,5000.0,4,2024
TSF/07722     ,2024-03-06,5792.0,1.0,"SMOKE ALARM, THERMOTEK WST-630, HEARING IMPAIRED            ",189.8,10.0,1898.0,17284.0,FIREANGEL SAFETY TECHNOLOGY LD,(NW) COMMUNITY SAFETY - WEMBLEY                             ,1898.0,3,2024
TSF/07722     ,2024-03-06,5792.0,2.0,STROBE & VIBRATING PAD PACK                                 ,389.4,10.0,3894.0,17284.0,FIREANGEL SAFETY TECHNOLOGY LD,(NW) COMMUNITY SAFETY - WEMBLEY                             ,3894.0,3,2024
WNH/00003     ,2024-12-04,8824.46,1.0,LEE GREEN FIRE STATION - ELECTRICAL REWIRE PROJECT          ,1.0,8824.0,8824.46,17096.0,FRANKHAM CONSULTANCY GROUP LTD,LEE GREEN FIRE STATION (E29)                                ,8824.0,12,2024
WON/00002     ,2024-05-04,7000.0,1.0,CROYDON SUPPLY` AND DELIVERY OF PELLETS FOR BIOMASS BOLIER  ,1.0,7000.0,7000.0,19975.0,LC ENERGY LTD                 ,CROYDON FIRE STATION (E61)                                  ,7000.0,5,2024
WLP/00011     ,2024-11-04,5743.86,1.0,PRIVACY FOR ALL                                             ,1.0,5744.0,5743.86,19094.0,B NOKES CONTRACTS LTD         ,HENDON FIRE STATION (G52)                                   ,5744.0,11,2024
QZK/00016     ,2024-03-06,5551.4,1.0,PPM TASK                                                    ,5551.4,1.0,5551.4,20793.0,"Mitie FM Limited,             ",HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   ,5551.4,3,2024
QZL/00006     ,2024-03-06,6598.24,1.0,* QUOTE * - TO SUPPLY QUOTATIO                              ,6598.24,1.0,6598.24,20793.0,"Mitie FM Limited,             ",HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   ,6598.24,3,2024
QZK/00015     ,2024-03-06,9668.1,1.0,PPM TASK                                                    ,1258.04,1.0,1258.04,20793.0,"Mitie FM Limited,             ",HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   ,1258.04,3,2024
QZK/00015     ,2024-03-06,9668.1,2.0,PPM TASK                                                    ,2749.39,1.0,2749.39,20793.0,"Mitie FM Limited,             ",HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   ,2749.39,3,2024
QZK/00015     ,2024-03-06,9668.1,3.0,PPM TASK                                                    ,1612.12,1.0,1612.12,20793.0,"Mitie FM Limited,             ",HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   ,1612.12,3,2024
QZK/00015     ,2024-03-06,9668.1,4.0,PPM TASK                                                    ,1917.0,1.0,1917.0,20793.0,"Mitie FM Limited,             ",HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   ,1917.0,3,2024
QZK/00015     ,2024-03-06,9668.1,5.0,PPM TASK                                                    ,2131.55,1.0,2131.55,20793.0,"Mitie FM Limited,             ",HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   ,2131.55,3,2024
QBK/00122     ,2024-07-05,7011.08,1.0,QUOTED WORKS - APPROVED                                     ,7011.08,1.0,7011.08,22473.0,ABM Technical Solutions Ltd   ,HQ COMPLEX - PROPERTY RELATED ORDERS ONLY                   ,7011.08,7,2024
WLV/00008     ,2024-06-06,6024.85,1.0,MERTON LOC- CHANGING ROOM LOCKER ROOMS                      ,1.0,6025.0,6024.85,22160.0,Bellrock (Portal) Property    ,MERTON LOC - PROPERTY ORDERS ONLY                           ,6025.0,6,2024
WNR/00006     ,2024-01-05,6686.41,1.0,GP TECH-SERV- ANNUAL PPM BLANKET ORDER- BUDGET 2322         ,1.0,6686.0,6686.41,22046.0,GP TechServ Ltd               ,MERTON LOC - PROPERTY ORDERS ONLY                           ,6686.0,1,2024
TSF/07794     ,2024-07-06,5135.86,1.0,"PROFESSIONAL SERVICES, COUNSELLING                          ",5135.86,1.0,5135.86,14641.0,CORE IMS LTD                  ,HR - COUNSELLING & WELLBEING - EUSTON                       ,5135.86,7,2024
